"SN","CRT_DT","MSG_CN","RCPTN_RGN_NM","EMRG_STEP_NM","DST_SE_NM","REG_YMD","MDFCN_YMD"
"205172","2023/09/16 11:41:41","[김해시] 김해시 호우주의보 발효중으로 특히 서부지역(진례 등) 많은 비가 내렸으니 지하차도 통행 자제, 농배수로 물꼬작업 등 위험지역 접근 삼가해주시기바랍니다.","경상남도 김해시 ","안전안내","호우","2023-09-16","2023-09-16"
"205173","2023/09/16 11:42:02","[서울경찰청] 강서구에서 배회중인 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지 vo.la/t5Fpt / ☎182","서울특별시 강서구 ","안전안내","기타","2023-09-16","2023-09-16"
"205174","2023/09/16 11:42:32","[서울경찰청] 양천구에서 목격된 현명란씨(여,53세)를 찾습니다-163cm,60kg,검정반팔(어깨,허리부분 노란색),검정바지 
vo.la/t5Fpt / ☎182","서울특별시 양천구 ","안전안내","기타","2023-09-16","2023-09-16"
"205175","2023/09/16 11:45:55","[기장군] 금일 집중호우로 인해 좌광천 산책로를 통제중이오니, 하천변 출입 삼가 및 안전에 유의하여 주시기 바랍니다.","부산광역시 기장군 ","안전안내","호우","2023-09-16","2023-09-16"
"205176","2023/09/16 11:47:28","[남해군] 이동면 초음리 남해전복물회 앞 도로(국도 19호선) 공사 중으로 차량 서행하여 주시기 바랍니다.","경상남도 남해군 ","안전안내","호우","2023-09-16","2023-09-16"
"205177","2023/09/16 11:49:30","[울산광역시] 현재 울산지역에 천둥, 번개를 동반한 많은 비가 내리고 있습니다. 외출을 자제하시고 불가피한 야외 활동 시 안전에 각별히 유의하시기 바랍니다.","울산광역시 전체 ","안전안내","호우","2023-09-16","2023-09-16"
"205233","2023/09/16 16:49:00","[상주시] 상주지역에 호우주의보 발효 중. 외출자제, 논물꼬, 배수로 접근금지, 급경사지 인근 및 산사태 위험지역에 계신 주민은 안전한 곳으로 대피하시기 바랍니다","경상북도 상주시 ","안전안내","호우","2023-09-16","2023-09-16"
"205234","2023/09/16 16:49:52","[횡성군]오늘 16시 30분 호우주의보 발효. 개울가, 하천, 계곡 등 야영객은 안전한 장소로 대피하여 주시고 시설물 관리 및 안전사고에 유의하여 주시기 바랍니다","강원특별자치도 횡성군 ","안전안내","호우","2023-09-16","2023-09-16"
"205235","2023/09/16 16:51:41","[청주시]현재 많은 비가 내리고 있습니다. 하천변 산책로, 산간계곡은 범람이나 급류 휩쓸림 사고의 위험이 있으니 가까이 접근하지 마세요.","충청북도 청주시 상당구 ,충청북도 청주시 서원구 ,충청북도 청주시 흥덕구 ,충청북도 청주시 청원구 ","안전안내","호우","2023-09-16","2023-09-16"
"205236","2023/09/16 16:53:47","[사하구] 오늘부터 집중호우가 예상되니, 주택, 상가 근처 하수구 덮개를 제거 해주시고, 장림유수지, 낙동강변 산책로 등 위험지역 출입을 금지하여 주시기 바랍니다","부산광역시 사하구 ","안전안내","호우","2023-09-16","2023-09-16"
"205237","2023/09/16 16:56:05","[남원시] 주천,아영,산내,인월,운봉지역에 많은 비가내려 산사태 위험 높으므로 입산 및 산림주변 통행금지, 대피명령 있을시 마을회관 등 안전한 곳으로 대피바랍니다","전라북도 남원시 ","안전안내","산사태","2023-09-16","2023-09-16"
"205238","2023/09/16 17:12:59","[증평군] 금일 16시15분 증평군지역 호우주의보 발효. 저지대, 침수 우려지역 위험지역 등 출입을 자제하여 주시기 바랍니다.","충청북도 증평군 ","안전안내","호우","2023-09-16","2023-09-16"
"205239","2023/09/16 17:42:20","[충주시] 모레까지 우리 시에 많은 비. 산사태 발생이 우려되므로 산림 주변 야외활동을 자제하시고 산에 있을 경우 즉시 산림 밖으로 피하시기 바랍니다.","충청북도 충주시 ","안전안내","산사태","2023-09-16","2023-09-16"
"205240","2023/09/16 17:47:20","[문경시] 현재 많은 비로 하천 수위 상승 및 산사태 위험이 있으니 하천변, 급경사지, 산간계곡 등 위험한 지역에 계신 주민은 안전한 곳으로 즉시 대피 바랍니다.","경상북도 문경시 ","안전안내","호우","2023-09-16","2023-09-16"
"205241","2023/09/16 17:52:49","[괴산군] 호우주의보 발효중. 하천변, 급경사지, 산사태우려지역 등 위험지역 접근 금지, 시설물 관리 철저 및 외출 자제 등 안전에 유의 바랍니다.","충청북도 괴산군 ","안전안내","호우","2023-09-16","2023-09-16"
"205242","2023/09/16 17:59:25","[옥천군] 하천변 산책로, 계곡, 저지대, 산사태우려지역 등 위험지역 접근금지 및 외출자재 등 안전에 유의해 주시기 바랍니다.","충청북도 옥천군 ","안전안내","호우","2023-09-16","2023-09-16"
"205243","2023/09/16 18:02:58","[한국수자원공사] 9월 16일 21시부터 주암댐 초당 700톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천주변에 계신 경우 안전한 곳으로 대피 바랍니다.","경상남도 하동군 ,전라남도 곡성군 ,전라남도 광양시 ,전라남도 구례군 ,전라남도 순천시 ","안전안내","호우","2023-09-16","2023-09-16"
"205244","2023/09/16 18:06:40","[경기도청] 연천군(필승교) 수위 1m 이상 임진강 수위 상승 중. 하천변의 행락객, 야영객, 어민, 지역주민 등은 즉시 대피하시기 바랍니다.","임진강 수계지역(경기도 연천군,파주시)  ,경기도 임진강 ","안전안내","기타","2023-09-16","2023-09-16"
"205245","2023/09/16 18:10:06","[수영구청] 오늘 밤부터 내일 새벽 집중호우가 예상되오니, 지하주차장 및 지하시설 침수예방점검과 안전에 유의하시기 바랍니다.","부산광역시 수영구 ","안전안내","호우","2023-09-16","2023-09-16"
"205246","2023/09/16 18:12:50","[증평군] 호우주의보 발효중. 새벽까지 많은 비가 예상되오니, 저지대, 하천변 산책로, 산사태위험지역 등 출입 금지, 안전한 지역으로 대피 바랍니다.","충청북도 증평군 ","안전안내","호우","2023-09-16","2023-09-16"
"205247","2023/09/16 18:30:08","[경상남도] 밤사이 많은 비 예상, 야영, 낚시, 물놀이, 산책 등 하천변 출입 자제, 산림지역, 급경사지 접근금지, 새벽 물꼬작업 금지 등 안전에 유의바랍니다.","경상남도 전체 ","안전안내","호우","2023-09-16","2023-09-16"
"205249","2023/09/16 19:00:59","[의정부시] 집중호우 대비 조치로 하천변 산책로를 사전 통제하고 있으니, 출입을 삼가시고 안전에 유의하시기 바랍니다.","경기도 의정부시 ","안전안내","호우","2023-09-16","2023-09-16"
"205248","2023/09/16 19:00:41","[수영구청] 오늘 밤부터 내일 새벽 집중호우가 예상되오니, 가정 내 피해예방 및 안전관리에 유의하시기 바랍니다.","부산광역시 수영구 ","안전안내","호우","2023-09-16","2023-09-16"
"205250","2023/09/16 19:03:43","[서울경찰청] 용산구에서 실종된 이현주씨(여, 52세)를 찾습니다 - 153cm, 55kg, 삭발머리, 슬리퍼착용 
vo.la/9bJN1 / ☎182","서울특별시 용산구 ","안전안내","기타","2023-09-16","2023-09-16"
"205251","2023/09/16 19:06:16","[서울경찰청] 중구에서 배회중인 이현주씨(여, 52세)를 찾습니다 - 153cm, 55kg, 삭발머리, 슬리퍼착용 
vo.la/9bJN1 / ☎182","서울특별시 중구 ","안전안내","기타","2023-09-16","2023-09-16"
"205252","2023/09/16 19:09:13","[서울경찰청] 서대문구에서 목격된 이현주씨(여, 52세)를 찾습니다 - 153cm, 55kg, 삭발머리, 슬리퍼착용 
vo.la/9bJN1 / ☎182","서울특별시 서대문구 ","안전안내","기타","2023-09-16","2023-09-16"
"205253","2023/09/16 19:22:01","[금정구] 오늘 밤부터 내일 새벽까지 많은 비가 예상되니 침수 등 위험징후 발견 즉시 대피하시고, 하천 산책로(온천천,수영강)는 출입을 금지하여 주시기 바랍니다.","부산광역시 금정구 ","안전안내","호우","2023-09-16","2023-09-16"
"205254","2023/09/16 19:32:59","[동구]금일 계속된 호우 경보 및 21시 경 만조로 동천 수위 상승 우려가 있어 동천 일원 침수 우려지역 주민들은 안전 유의 및 사전 차량 이동 부탁드립니다.","부산광역시 동구 ","안전안내","호우","2023-09-16","2023-09-16"
"205255","2023/09/16 19:38:08","[북구청] 낙동강 수위상승에 따라 20시부 화명생태공원 덕천교 하상도로(생태공원~ 구포방면 진출로)통제 및 그 외 구간 해제, 이용에 참고해 주시기 바랍니다.","부산광역시 북구 ","안전안내","호우","2023-09-16","2023-09-16"
"205256","2023/09/16 19:52:25","[부산경찰청] 수영구에서 실종된 이화영(여,16세)을 찾습니다-168cm,검정긴팔후드티,초록반바지,검정슬리퍼,진회색마스크
vo.la/C1WMz / ☎182","부산광역시 수영구 ","안전안내","기타","2023-09-16","2023-09-16"
"205257","2023/09/16 19:54:23","[부산경찰청] 연제구에서 배회중인 이화영(여,16세)을 찾습니다-168cm,검정긴팔후드티,초록반바지,검정슬리퍼,진회색마스크 vo.la/C1WMz / ☎182","부산광역시 연제구 ","안전안내","기타","2023-09-16","2023-09-16"
"205258","2023/09/16 20:03:35","[행정안전부] 그동안 내린 비로 지반이 약해져 있으니 산사태ㆍ비탈면ㆍ축대ㆍ제방 붕괴 징후가 있는 곳에서는 즉시 안전한 곳으로 대피하시기 바랍니다.","강원특별자치도 원주시 ,강원특별자치도 홍천군 ,강원특별자치도 횡성군 ,경상남도 거제시 ,경상남도 고성군 ,경상남도 김해시 ,경상남도 남해군 ,경상남도 밀양시 ,경상남도 사천시 ,경상남도 양산시 ,경상남도 통영시 ,경상북도 상주시 ,대전광역시 전체 ,부산광역시 전체 ,울산광역시 전체 ,충청남도 금산군 ,충청남도 논산시 ,충청북도 괴산군 ,충청북도 보은군 ,충청북도 영동군 ,충청북도 옥천군 ,충청북도 음성군 ,충청북도 충주시 ,충청북도 증평군 ,충청북도 청주시 상당구 ,충청북도 청주시 서원구 ,충청북도 청주시 흥덕구 ,경상남도 창원시 의창구 ,경상남도 창원시 성산구 ,경상남도 창원시 마산합포구 ,경상남도 창원시 마산회원구 ,경상남도 창원시 진해구 ,충청북도 청주시 청원구 ","안전안내","호우","2023-09-16","2023-09-16"
"205259","2023/09/16 20:32:35","[행정안전부] 오늘 20시30분 경기(안산) 호우경보, 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다","경기도 안산시 ","안전안내","호우","2023-09-16","2023-09-16"
"205260","2023/09/16 20:34:40","[기상청] 20:33 단원구 대부동 인근에 시간당 50mm 이상 강한 비로 침수 등 우려, 안전확보를 위한 국민행동요령 확인 바람 cbs.kma.go.kr","경기도 안산시 단원구 풍도동","긴급재난","호우","2023-09-16","2023-09-16"
"205261","2023/09/17 05:33:48","[김해시] 오늘 04시50분 김해지역 호우주의보 발효. 지하차도 통행 자제, 저지대, 침수 우려지역 등 위험지역 접근 삼가해주시기바랍니다.","경상남도 김해시 ","안전안내","호우","2023-09-17","2023-09-17"
"205262","2023/09/17 05:46:51","[행정안전부] 오늘 05시45분 경남(양산),부산 호우경보, 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다","경상남도 양산시 ,부산광역시 전체 ","안전안내","호우","2023-09-17","2023-09-17"
"205263","2023/09/17 05:55:05","[김해시] 현재 김해시에 호우주의보가 발효되어 천둥 번개를 동반한 많은 비가 내리고 있습니다. 하천변 산책로, 급경사지 등 침수위험지역 통행을 자제하시기바랍니다.","경상남도 김해시 ","안전안내","호우","2023-09-17","2023-09-17"
"205264","2023/09/17 06:03:56","[양산시청] 현재 호우경보 발효중으로 하천변산책로, 산사태 위험지와 저지대 침수우려지역 접근금지 및 지하차도 운행시 안전에 주의하시기 바랍니다.","경상남도 양산시 ","안전안내","호우","2023-09-17","2023-09-17"
"205265","2023/09/17 06:05:36","[기장군] 호우경보 발효중. 하천산책로, 해안가, 급경사지 등 위험지역 접근금지 및 노약자 외출자제 등 안전에 유의하여 주시기 바랍니다.","부산광역시 기장군 ","안전안내","한파","2023-09-17","2023-09-17"
"205266","2023/09/17 06:17:01","[동구] 9.17. 05:45 호우경보 발표에 따라 초량제1,2지하차도, 부산진시장 지하차도를 통제하였으니, 주변 도로 이용차량은 우회하시기 바랍니다.","부산광역시 동구 ","안전안내","호우","2023-09-17","2023-09-17"
"205267","2023/09/17 06:17:57","[금정구] 현재 호우경보 발효 중. 침수 등 위험징후 발견 즉시 대피하시고, 급경사지 등 위험지역과 하천 산책로(온천천,수영강)는 출입을 금지하여 주시기 바랍니다","부산광역시 금정구 ","안전안내","호우","2023-09-17","2023-09-17"
"205268","2023/09/17 06:18:29","[행정안전부] 오늘 06시15분 울산 호우경보, 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다","울산광역시 전체 ","안전안내","호우","2023-09-17","2023-09-17"
"205269","2023/09/17 06:20:37","[북구] 많은 비가 예상됨에 따라 해안가, 하천변, 저지대 등 급류에 각별히 유의하시고, 위험지역 출입을 자제하시기 바랍니다.","울산광역시 북구 ","안전안내","태풍","2023-09-17","2023-09-17"
"205270","2023/09/17 06:50:04","[울주군] 오늘 오전에 많은 비가 예상됩니다. 침수지역, 산림인접지, 하천 산책로, 지하차도 등 위험지역 접근을 삼가바랍니다.","울산광역시 울주군 ","안전안내","호우","2023-09-17","2023-09-17"
"205271","2023/09/17 06:52:47","[서구] 현재 많은 비가 내리고 있습니다. 어르신들께서는 외출 자제하시고 주민들께선 폐공가, 붕괴위험지역, 공사장 주변 등 안전에 유의바랍니다.","부산광역시 서구 ","안전안내","호우","2023-09-17","2023-09-17"
"205272","2023/09/17 07:00:14","[금정구] 집중호우로 인한 산사태 경보 발령. 산사태 취약지 등 산림인접지, 등산로 출입을 자제하시고 긴급상황 시 가까운 동 행정복지센터로 대피하시기 바랍니다.","부산광역시 금정구 ","안전안내","산사태","2023-09-17","2023-09-17"
"205273","2023/09/17 07:06:24","[동구]호우 경보 발효 중. 하천 인근, 급경사지 등 위험지역 접근 금지 및 노약자 외출 자제 등 안전에 유의하여 주시기 바랍니다.","부산광역시 동구 ","안전안내","호우","2023-09-17","2023-09-17"
"205274","2023/09/17 07:10:26","[기장군] 금일 집중호우로 인해 산사태 경보발령. 산에 있을 경우 신속히 하산하시고, 산림지 주변 야외활동을 자제하여 주시기 바랍니다.","부산광역시 기장군 ","안전안내","산사태","2023-09-17","2023-09-17"
"205275","2023/09/17 07:11:05","[울산남구]현재 울산지역 많은 비가 내리고 있습니다. 하천 및 산림주변, 해안가 등 저지대 침수피해가 우려되므로 안전에 주의하시기 바랍니다.","울산광역시 남구 ","안전안내","호우","2023-09-17","2023-09-17"
"205276","2023/09/17 07:20:43","[금정구]호우경보 발효 중. 저지대 및 침수 우려지역 인근 주민께서는 위험징후 발견 시 즉시 대피하시고 하천변 등 위험지역 출입을 금지하여 주시기 바랍니다.","부산광역시 금정구 ","안전안내","호우","2023-09-17","2023-09-17"
"205277","2023/09/17 07:27:42","[동구]금일 호우경보 및 09시 29분 만조로 동천 수위 상승 우려가 있어 동천 일원 침수 우려 지역 주민들은 안전 유의 및 사전 차량 이동하시기 바랍니다.","부산광역시 동구 ","안전안내","호우","2023-09-17","2023-09-17"
"205278","2023/09/17 07:28:24","[북구청] 금일 07:07분 북구 산사태 경보 발령,산림연접지 주민께서는 안전사고 발생에 유의하시기 바라며,긴급상황 시 인근 동ㅎㅇ정복지센터 등으로 대피바랍니다.","부산광역시 북구 ","안전안내","산사태","2023-09-17","2023-09-17"
"205279","2023/09/17 07:32:05","[사상구]금일 새벽부터 내린 폭우로 인해 감전동 새벽로 일원 교통통제중 입니다. 해당구간  우회바랍니다.","부산광역시 사상구 ","안전안내","호우","2023-09-17","2023-09-17"
"205280","2023/09/17 07:37:56","[해운대구] 금일 05:45분 부산지역 호우경보. 산사태. 침수우려지역 등 위험지역 대피, 외출자제 등 안전에 주의하여 주시기 바랍니다.","부산광역시 해운대구 ","안전안내","호우","2023-09-17","2023-09-17"
"205281","2023/09/17 07:39:56","[울산광역시] 금일 호우에 따른 아산로 동구진입 방향 통제중으로 차량 이용자는 우회 하시기 바랍니다.","울산광역시 전체 ","안전안내","호우","2023-09-17","2023-09-17"
"205282","2023/09/17 07:40:54","[부산시] 부산지역 호우경보. 침수지역, 저지대, 하천 산책로, 지하차도, 급경사지 및 산사태 위험지역 접근을 삼가 바랍니다.","부산광역시 전체 ","안전안내","호우","2023-09-17","2023-09-17"
"205283","2023/09/17 07:46:34","[북구청] 금일 07:07분 북구 산사태 경보 발령,산림연접지 주민께서는 안전사고 발생에 유의하시기 바라며,긴급상황 시 인근 동 행정복지센터 등으로 대피바랍니다.","부산광역시 북구 ","안전안내","산사태","2023-09-17","2023-09-17"
"205284","2023/09/17 07:50:38","[강서구] 강서구 산사태주의보 발령. 산림연접부 주민들께서는 비상상황시 즉시 가까운 마을회관 등 대피소로 대피하여 주시기 바랍니다.","부산광역시 강서구 ","안전안내","호우","2023-09-17","2023-09-17"
"205285","2023/09/17 08:03:16","[북구]화명생태공원 진출입로, 덕천교 하상도로, 산성터널 진입 옆 도로, 금곡대로(호포방면) 갑작스런 호우에 따른 도로침수 발생, 인근차량은 우회 바랍니다.","부산광역시 북구 ","안전안내","호우","2023-09-17","2023-09-17"
"205286","2023/09/17 08:09:35","[북구] 금일 집중호우로 인하여 속심이보, 제전보, 상안잠수교, 시례잠수교, 동천 징검다리 등 통제 중이오니 우회하시기 바랍니다.","울산광역시 북구 ","안전안내","호우","2023-09-17","2023-09-17"
"205287","2023/09/17 08:29:34","[중구] 오늘 오전 많은 비가 예상되오니 상습침수지역 및 산사태우려지역, 지하차도, 척과천 징검다리 등 위험지역에 접근을 삼가해 주시기 바랍니다.","울산광역시 중구 ","안전안내","호우","2023-09-17","2023-09-17"
"205288","2023/09/17 08:38:20","[한국수자원공사] 9월 17일(일) 12시부터 남강댐 최대 초당900톤(남강본류 최대 300, 가화천 최대 600) 이내 수문방류 예정. 하천변 출입 자제 요망","경상남도 사천시 ,경상남도 의령군 ,경상남도 진주시 ,경상남도 함안군 ","안전안내","기타","2023-09-17","2023-09-17"
"205289","2023/09/17 08:49:16","[부산경찰청] 연제구에서 실종된 김언씨(여,80세)를 찾습니다 -145cm,분홍색잠바,빨간색바지,검정모자,검정운동화,흰마스크
vo.la/wWr6F / ☎182","부산광역시 연제구 ","안전안내","기타","2023-09-17","2023-09-17"
"205290","2023/09/17 08:49:47","[부산경찰청] 동래구에서 배회중인 김언씨(여,80세)를 찾습니다 -145cm,분홍색잠바,빨간색바지,검정모자,검정운동화,흰마스크
vo.la/wWr6F / ☎182","부산광역시 동래구 ","안전안내","기타","2023-09-17","2023-09-17"
"205291","2023/09/17 08:52:30","[해운대구] 금일 많은 비로 인한 하천수위 상승으로 세월교(반여동)를 통제중이니 주변 도로 이용 차량은 우회하시기 바랍니다.","부산광역시 해운대구 ","안전안내","호우","2023-09-17","2023-09-17"
"205292","2023/09/17 09:09:11","[부산진구청] 현재 동천 만조와 강우로 인해 동천의 수위가 상승하여 위험하오니 동천 주변 통행을 자제하시고, 인근 저지대 주민분들께서는 안전에 유의하시기 바랍니다","부산광역시 부산진구 ","안전안내","호우","2023-09-17","2023-09-17"
"205293","2023/09/17 11:04:02","[북구] 화명생태공원 차량 진출입로는 전면 해제되었으나, 생태공원 산책로 및 지하보도, 대천천 산책로는 지속 통제중이니 이용에 참고해 주시기 바랍니다.","부산광역시 북구 ","안전안내","호우","2023-09-17","2023-09-17"
"205294","2023/09/17 11:19:43","[진주시] 상평동 싱크홀 발생으로 구.한일병원에서 공단사거리 사이 구간 초전동 방면 도로 교통통제 중입니다. 교통혼잡이 예상되오니 우회도로 이용 바랍니다.","경상남도 진주시 ","안전안내","기타","2023-09-17","2023-09-17"
"205124","2023/09/16 06:26:27","[서천군] 현재 강한 비가 내리고 있으니 하천변 산책로, 급경사지 등 위험지역 접근을 금지하시고 특히 노약자나 거동이 불편하신분은 외출 자제 바랍니다.","충청남도 서천군 ","안전안내","호우","2023-09-16","2023-09-16"
"205125","2023/09/16 06:45:40","[부여군] 호우주의보가 발효되어 많은 비가 내리고 있습니다. 산사태 위험지역, 하천변 등에 계신 분들은 안전한 마을회관 등으로 대피하여 주시기 바랍니다.","충청남도 부여군 ","안전안내","호우","2023-09-16","2023-09-16"
"205126","2023/09/16 06:50:17","[세종시청] 오늘 06:30분 호우주의보 발효, 일부 도로 침수 중(은하수사거리 등)이며 제천·방축천·삼성천·내창천 범람위험 있으니 출입금지 바랍니다.","세종특별자치시  ","안전안내","호우","2023-09-16","2023-09-16"
"205127","2023/09/16 07:01:28","[청양군] 오늘 새벽부터 내일까지 많은 비가 예보되어 있으니, 하천변 산책로, 산사태 우려지역 등 위험지역의 접근을 삼가시기 바랍니다.","충청남도 청양군 ","안전안내","호우","2023-09-16","2023-09-16"
"205128","2023/09/16 07:08:42","[공주시] 호우주의보가 발효되어 많은 비가 내리고 있습니다. 산사태 위험지역, 하천변 등에 계신 분들은 안전한 마을회관 등으로 대피하여 주시기 바랍니다.","충청남도 공주시 ","안전안내","호우","2023-09-16","2023-09-16"
"205129","2023/09/16 07:19:14","[익산시] 06:20분 호우주의보 발효. 급경사지, 침수위험지역 등 위험지역에 접근하지 마시고 호우피해가 없도록 안전에 유의하시기 바랍니다.","전라북도 익산시 ","안전안내","호우","2023-09-16","2023-09-16"
"205130","2023/09/16 07:35:24","[논산시] 오늘 7시5분 우리지역 호우주의보. 저지대, 위험지역 등 출입금지. 호우피해가 없도록 안전에 유의 하시기 바랍니다.","충청남도 논산시 ","안전안내","호우","2023-09-16","2023-09-16"
"205131","2023/09/16 07:41:42","[경상남도] 사천, 남해 호우주의보 발효. 지하차도 통행자제, 농배수로 물꼬작업 금지, 산림지역, 급경사지, 하천변, 해안가 출입금지, 안전에 유의바랍니다","경상남도 남해군 ,경상남도 사천시 ","안전안내","호우","2023-09-16","2023-09-16"
"205132","2023/09/16 07:44:45","[김제시] 오늘 6시 20분 김제 호우주의보. 급경사지,하천, 침수 우려지역, 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다","전라북도 김제시 ","안전안내","호우","2023-09-16","2023-09-16"
"205133","2023/09/16 07:45:51","[행정안전부] 현재 많은 비가 내리고 있습니다. 하천변 산책로, 산간계곡은 범람이나 급류 휩쓸림 사고의 위험이 있으니 가까이 접근하지 마세요.","경상남도 전체 ,전라남도 전체 ,전라북도 전체 ,충청남도 전체 ,충청북도 전체 ,세종특별자치시  ","안전안내","호우","2023-09-16","2023-09-16"
"205134","2023/09/16 07:46:21","[세종시청] 가람동 금송로(이마트 앞) 차단예정, 제천·방축천 범람 우려 있으므로 진입금지 바랍니다.","세종특별자치시  ","안전안내","호우","2023-09-16","2023-09-16"
"205135","2023/09/16 07:51:11","[행정안전부] 오늘 07시40분 세종 호우경보, 산사태ㆍ상습침수 등 위험지역 대피, 외출자제 등 안전에 주의바랍니다","세종특별자치시  ","안전안내","호우","2023-09-16","2023-09-16"
"205136","2023/09/16 08:09:32","[사천시] 우리시에 호우주의보가 발효 중입니다. 하천변 산책로 등 위험지역 출입금지, 논밭 물꼬 정비 및 해안가 낚시 금지 등 안전에 유의하시기 바랍니다.","경상남도 사천시 ","안전안내","호우","2023-09-16","2023-09-16"
"205137","2023/09/16 08:35:08","[남해군] 현재 호우주의보 발효중. 위험지역 출입금지, 논밭 물꼬정비 및 해안가 낚시 금지 등 안전에 유의. 침수,산사태 위험 징후시 안전한 곳으로 대피 바랍니다","경상남도 남해군 ","안전안내","호우","2023-09-16","2023-09-16"
"205139","2023/09/16 08:37:48","[인제군청]금일 06:30 인제읍 고사리 산1-18번지 인근 낙석발생으로 인해 인제읍 고사리~수변공원 구간 통제 중, 덕산리~수변공원 방향으로 우회하시기 바랍니다","강원특별자치도 인제군 ","안전안내","기타","2023-09-16","2023-09-16"
"205138","2023/09/16 08:37:30","[한국수자원공사] 9월 16일 13시부터 횡성댐 초당 80톤 이내 수문방류로 하류지역 하천수위 상승 예상. 하천 주변에 계신 경우 안전한 곳으로 대피바랍니다.","강원특별자치도 원주시 ,강원특별자치도 횡성군 ","안전안내","기타","2023-09-16","2023-09-16"
"205140","2023/09/16 08:39:01","[경상남도] 진주, 고성 호우주의보 발효. 지하차도 통행자제, 농배수로 물꼬작업 금지,  산림지역, 급경사지, 하천변, 해안가 출입금지, 안전에 유의바랍니다","경상남도 고성군 ,경상남도 진주시 ","안전안내","호우","2023-09-16","2023-09-16"
"205141","2023/09/16 08:50:22","[경상남도] 하동 호우주의보 발효. 지하차도 통행자제, 농배수로 물꼬작업 금지, 산림지역, 급경사지, 하천변, 해안가 출입금지, 안전에 유의바랍니다","경상남도 하동군 ","안전안내","호우","2023-09-16","2023-09-16"
"205142","2023/09/16 09:09:39","[진주시청] 진주시 호우주의보 발효 중, 시간당 20~40mm의 호우가 내리고 있습니다. 외출 자제 및 하천둔치·비탈면 접근 금지, 위험지역은 사전대피 바랍니다.","경상남도 진주시 ","안전안내","호우","2023-09-16","2023-09-16"
